,title,type,issue,date
0,Executive Order on the Revocation of Executive Order 13770,Executive Orders,Other,"Jan 20, 2021"
1,Statement from the Press Secretary Regarding Executive Grants of Clemency,Statements & Releases,Law & Justice,"Jan 20, 2021"
2,Executive Order on Care Of Veterans With Service In Uzbekistan,Executive Orders,Veterans,"Jan 19, 2021"
3,Memorandum on  Deferred Enforced Departure for Certain Venezuelans,Presidential Memoranda,Foreign Policy,"Jan 19, 2021"
4,Statement from National Security Advisor Robert C. O’Brien,Statements & Releases,National Security & Defense,"Jan 19, 2021"
5,Text of a Letter to the Speaker of the House of Representatives and the President of the Senate,Statements & Releases,National Security & Defense,"Jan 19, 2021"
6,Executive Order on Taking Additional Steps to Address the National Emergency with Respect to Significant Malicious Cyber-Enabled Activities,Executive Orders,National Security & Defense,"Jan 19, 2021"
7,Memorandum on Declassification of Certain Materials Related to the FBI’s Crossfire Hurricane Investigation,Presidential Memoranda,Law & Justice,"Jan 19, 2021"
8,President Trump Awards Presidential Commendations to Operation Warp Speed Team,Statements & Releases,Healthcare,"Jan 19, 2021"
9,Remarks by President Trump In Farewell Address to the Nation,Remarks,Other,"Jan 19, 2021"
10,Statement from the Press Secretary,Statements & Releases,Other,"Jan 19, 2021"
11,"Proclamation Terminating Restrictions on Entry of Certain Travelers from the Schengen Area, the United Kingdom, the Republic of Ireland, and Brazil",Proclamations,Immigration,"Jan 18, 2021"
12,Executive Order on Protecting The United States From Certain Unmanned Aircraft Systems,Executive Orders,National Security & Defense,"Jan 18, 2021"
13,Executive Order on Ensuring Democratic Accountability in Agency Rulemaking,Executive Orders,Law & Justice,"Jan 18, 2021"
14,1776 Commission Takes Historic and Scholarly Step to Restore Understanding of the Greatness of the American Founding,Statements & Releases,Other,"Jan 18, 2021"
15,A Farewell Message from First Lady Melania Trump,Statements & Releases,Other,"Jan 18, 2021"
16,Executive Order on Protecting Americans From Overcriminalization Through Regulatory Reform,Executive Orders,Law & Justice,"Jan 18, 2021"
17,"Executive Order on Protecting Law Enforcement Officers, Judges, Prosecutors, And Their Families",Executive Orders,Law & Justice,"Jan 18, 2021"
18,Executive Order on Building the National Garden of American Heroes,Executive Orders,Other,"Jan 18, 2021"
19,"Proclamation on National Sanctity of Human Life Day, 2021",Proclamations,Law & Justice,"Jan 18, 2021"
20,Honoring American Craftsmanship in the People’s House by First Lady Melania Trump,Other,Other,"Jan 18, 2021"
21,"Proclamation on National School Choice Week, 2021",Proclamations,Education,"Jan 17, 2021"
22,Text of a Notice on the Continuation of the National Emergency With Respect to the Southern Border of the United States,Statements & Releases,Immigration,"Jan 16, 2021"
23,"Proclamation on Martin Luther King, Jr., Federal Holiday, 2021",Proclamations,Other,"Jan 15, 2021"
24,"Proclamation on Religious Freedom Day, 2021",Proclamations,Law & Justice,"Jan 15, 2021"
25,Statement from the Press Secretary Regarding the Designations of the UAE and the Kingdom of Bahrain as Major Security Partners of the United States,Statements & Releases,Foreign Policy,"Jan 15, 2021"
26,"Statement from the Press Secretary on the Awarding of the Legion of Merit, Degree Chief Commander, to His Majesty Mohammed VI, King of Morocco",Statements & Releases,Foreign Policy,"Jan 15, 2021"
27,President Donald J. Trump Approves Colorado Disaster Declaration,Statements & Releases,Other,"Jan 15, 2021"
28,Statement from National Security Advisor Robert C. O’Brien,Statements & Releases,National Security & Defense,"Jan 15, 2021"
29,Memorandum on Space Policy Directive 7,Presidential Memoranda,Infrastructure & Technology,"Jan 15, 2021"
30,Trump Administration Issues 75th Annual Economic Report of the President,Statements & Releases,Economy & Jobs,"Jan 15, 2021"
31,Statement from National Security Advisor Robert C. O’Brien,Statements & Releases,National Security & Defense,"Jan 15, 2021"
32,Operation Warp Speed Delivers Best Early Vaccination Rate of the G20,Other,Economy & Jobs,"Jan 15, 2021"
33,Statement from the Press Secretary Regarding the National Security Presidential Memorandum on Research and Development Security,Statements & Releases,National Security & Defense,"Jan 14, 2021"
34,Presidential Memorandum on United States Government-Supported Research and Development National Security Policy,Presidential Memoranda,National Security & Defense,"Jan 14, 2021"
35,Text of a Letter to the Speaker of the House of Representatives and the President of the Senate,Statements & Releases,Budget & Spending,"Jan 14, 2021"
36,Executive Order on Encouraging Buy American Policies For The United States Postal Service,Executive Orders,Economy & Jobs,"Jan 14, 2021"
37,Proclamation on the Continuation of Facilitating Positive Adjustment to Competition from Imports of Large Residential Washers,Proclamations,Economy & Jobs,"Jan 14, 2021"
38,Statement from President Donald J. Trump,Statements & Releases,National Security & Defense,"Jan 14, 2021"
39,Executive Order on Establishing The Wildland Fire Management Policy Committee,Executive Orders,Land & Agriculture,"Jan 14, 2021"
40,President Donald J. Trump Awarded the National Medal of Arts and National Humanities Medal,Statements & Releases,Other,"Jan 14, 2021"
41,Text of a Letter to the Speaker of the House of Representatives and the President of the Senate,Statements & Releases,National Security & Defense,"Jan 13, 2021"
42,Executive Order on Amending Executive Order 13959–Addressing the Threat from Securities Investments that Finance Communist Chinese Military Companies,Executive Orders,National Security & Defense,"Jan 13, 2021"
43,Bill Announcement,Statements & Releases,Law & Justice,"Jan 13, 2021"
44,Statement from the President,Statements & Releases,Law & Justice,"Jan 13, 2021"
45,President Donald J. Trump Approves Connecticut Disaster Declaration,Statements & Releases,Other,"Jan 13, 2021"
46,President Donald J. Trump Approves Georgia Disaster Declaration,Statements & Releases,Other,"Jan 13, 2021"
47,President Donald J. Trump Approves Utah Disaster Declaration,Statements & Releases,Other,"Jan 13, 2021"
48,President Donald J. Trump Approves Louisiana Disaster Declaration,Statements & Releases,Other,"Jan 13, 2021"
49,Statement from National Security Advisor Robert C. O’Brien,Statements & Releases,National Security & Defense,"Jan 12, 2021"
50,Bill Announcement,Statements & Releases,Law & Justice,"Jan 12, 2021"
51,Letter to Speaker Nancy Pelosi on 25th Amendment Resolution,Statements & Releases,Other,"Jan 12, 2021"
52,"Remarks by President Trump at the 45th Mile of New Border Wall | Reynosa-McAllen, TX",Remarks,Immigration,"Jan 12, 2021"
53,Readout from the Trump Administration’s 49th Governors Briefing on COVID-19 Response & Best Practices,Statements & Releases,Healthcare,"Jan 12, 2021"
54,Vice President Pence Statement on the Passing of Sheldon Adelson,Statements & Releases,Other,"Jan 12, 2021"
55,"Remarks by President Trump Before Air Force One Departure | Joint Base Andrews, MD",Remarks,Other,"Jan 12, 2021"
56,Remarks by President Trump Before Marine One Departure,Remarks,Other,"Jan 12, 2021"
57,Statement from the Press Secretary Regarding Small Modular Reactors for National Defense and Space Exploration,Statements & Releases,National Security & Defense,"Jan 12, 2021"
58,Executive Order on Promoting Small Modular Reactors for National Defense and Space Exploration,Executive Orders,National Security & Defense,"Jan 12, 2021"
59,Statement from the President,Statements & Releases,Other,"Jan 12, 2021"
60,The White House Launches the National Artificial Intelligence Initiative Office,Statements & Releases,Infrastructure & Technology,"Jan 12, 2021"
61,President Donald J. Trump Approves District of Columbia Emergency Declaration,Statements & Releases,Other,"Jan 11, 2021"
62,President Donald J. Trump to Award the Medal of Freedom to Jim Jordan,Statements & Releases,Other,"Jan 11, 2021"
63,Economic Report Card for the Affordable Care Act’s Employer Mandate,Other,Economy & Jobs,"Jan 11, 2021"
64,December Job Losses Driven by Leisure and Hospitality Industry,Other,Economy & Jobs,"Jan 11, 2021"
65,Statement from National Security Advisor Robert C. O’Brien,Statements & Releases,National Security & Defense,"Jan 11, 2021"
66,First Lady Melania Trump: Our Path Forward,Other,Other,"Jan 11, 2021"
67,Proclamation on Honoring United States Capitol Police Officers,Proclamations,Law & Justice,"Jan 10, 2021"
68,Memorandum on Providing an Order of Succession Within the United States International Development Finance Corporation,Presidential Memoranda,Other,"Jan 8, 2021"
69,Executive Order on Providing an Order of Succession Within the Environmental Protection Agency,Executive Orders,Energy & Environment,"Jan 8, 2021"
70,Statement from the Press Secretary,Other,Other,"Jan 7, 2021"
71,Remarks by Press Secretary Kayleigh McEnany,Remarks,Other,"Jan 7, 2021"
72,Statement from the Press Secretary,Statements & Releases,Other,"Jan 7, 2021"
73,Three Nominations and One Withdrawal Sent to the Senate,Nominations & Appointments,Other,"Jan 7, 2021"
74,The Trump Administration Is Achieving Environmental Progress While Saving Taxpayer Dollars,Other,Other,"Jan 6, 2021"
75,Statement from the Press Secretary,Statements & Releases,Law & Justice,"Jan 5, 2021"
76,Memorandum on Inadmissibility of Persons Affiliated with Antifa Based on Organized Criminal Activity,Presidential Memoranda,Law & Justice,"Jan 5, 2021"
77,Statement from National Security Advisor Robert C. O’Brien on the Executive Order Addressing Chinese Software Applications,Statements & Releases,National Security & Defense,"Jan 5, 2021"
78,Bill Announcement,Statements & Releases,Other,"Jan 5, 2021"
79,Message to the Congress on Addressing the Threat Posed By Applications and Other Software Developed or Controlled By Chinese Companies,Statements & Releases,National Security & Defense,"Jan 5, 2021"
80,Executive Order Addressing the Threat Posed By Applications and Other Software Developed or Controlled By Chinese Companies,Executive Orders,National Security & Defense,"Jan 5, 2021"
81,President Donald J. Trump Approves Tennessee Emergency Declaration,Statements & Releases,Land & Agriculture,"Jan 5, 2021"
82,President Donald J. Trump Announces Additional Support for the People of Puerto Rico as They Continue to Rebuild Following Natural Disasters,Statements & Releases,Land & Agriculture,"Jan 5, 2021"
83,"President Trump’s Bold Vision Will Help Conserve, Manage, and Explore America’s Oceans",Other,Energy & Environment,"Jan 5, 2021"
84,Statement from National Security Advisor Robert C. O’Brien Regarding the National Maritime Cybersecurity Plan,Statements & Releases,National Security & Defense,"Jan 5, 2021"
85,Bill Announcement,Statements & Releases,Other,"Jan 5, 2021"
86,President Trump Announces Presidential Delegation to Attend the Inauguration of His Excellency Nana Addo Dankwa Akufo-Addo,Statements & Releases,Foreign Policy,"Jan 4, 2021"
87,Administration Issues Annual Intellectual Property Report,Statements & Releases,Infrastructure & Technology,"Jan 4, 2021"
